"id_rubrique","nom","edito","titre_seo","seo","parent","ordre","active","dept","created","modified","modifier"
"85","Nos amies les bêtes",,,,"1","0","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43","Responsable 29"
"87","Balades et jardins",,,,"1","1","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43","Responsable 29"
"117","Boutiques sympas",,,,"5","0","1","30","2015-06-11 14:11:34","2016-02-02 09:45:43","Responsable 29"
"90","Au bord de la mer",,,,"1","2","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"92","Contes et merveilles",,,,"2","1","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43","Responsable 29"
"94","Petits créatifs",,,,"2","2","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"96","Fermes et cueillettes",,,,"1","4","1","73","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"97","Bretonneries terre et mer",,,,"3","2","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43","Responsable 29"
"98","Se défouler dehors",,,,"4","1","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"99","Se défouler dedans",,,,"4","2","1","30","2015-06-09 10:17:03","2016-02-02 09:45:43",NULL
"100","Parcs et Balades",,,,"1","0","1","80","2015-06-11 10:17:31","2021-02-19 14:02:55","Elea BOUVIER"
"101","Parcs et balades",,,,"1","0","1","86","2015-06-11 10:19:09","2016-02-02 09:45:43","Responsable 85"
"102","Musées dépoussiérés",,,,"3","0","1","84","2015-06-11 10:19:11","2016-02-02 09:45:43","Responsable 83"
"255","Envie de jouer",,,,"2","4","1","54","2015-08-13 15:59:15","2016-02-02 09:45:43","Responsable 53"
"104","En intérieur",,,,"4","0","1","36","2015-06-11 10:28:57","2016-02-02 09:45:43","Responsable 35"
"105","Petites et grosses bêtes",,,,"1","0","1","88","2015-06-11 10:33:46","2016-02-02 09:45:43","Responsable 87"
"106","Visite active",,,,"1","0","1","102","2015-06-11 10:35:16","2016-02-02 09:45:43","Responsable 72"
"107","Petites et grosses bêtes",,,,"1","1","1","102","2015-06-11 10:35:52","2016-02-02 09:45:43","Responsable 72"
"108","musées",,,,"2","0","1","102","2015-06-11 10:38:51","2016-02-02 09:45:43","Responsable 72"
"109","librairie",,,,"2","1","1","102","2015-06-11 10:40:58","2016-02-02 09:45:43","Responsable 72"
"111","Parcs &#38; balades",,,,"1","0","1","36","2015-06-11 12:47:39","2016-02-02 09:45:43","Responsable 35"
"125","Spectacles",,,,"2","1","1","54","2015-06-11 15:57:31","2016-02-02 09:45:43","Responsable 53"
"126","Parcs et balades",,,,"1","1","1","88","2015-06-12 11:53:58","2016-02-02 09:45:43","Responsable 87"
"127","Dehors",,,,"6","0","1","54","2015-06-12 11:54:13","2016-02-02 09:45:43","Responsable 53"
"116","Fermes et cueillettes",,,,"1","4","0","54","2015-06-11 13:01:28","2018-10-09 12:31:45","Maud Léger"
"119","Hébergements insolites",,,,"5","2","1","30","2015-06-11 14:13:26","2016-02-02 09:45:43","Anne-Cecile Bechu"
"121","Se défouler dehors",,,,"4","0","1","54","2015-06-11 15:38:06","2016-02-02 09:45:43","Responsable 53"
"122","Se défouler dedans",,,,"4","1","1","54","2015-06-11 15:38:24","2016-02-02 09:45:43","Responsable 53"
"123","Parcs et balades",,,,"1","0","1","54","2015-06-11 15:42:46","2018-10-09 12:30:55","Maud Léger"
"124","Ateliers",,,,"2","0","1","54","2015-06-11 15:45:11","2016-02-02 09:45:43","Responsable 53"
